,Predicted Price
2024-01-01,191.65999
2024-01-02,191.41367
2024-01-03,191.2039
2024-01-04,191.03815
2024-01-05,190.90279
2024-01-08,190.78833
2024-01-09,190.68863
2024-01-10,190.59976
2024-01-11,190.51907
2024-01-12,190.44484
2024-01-15,190.37581
2024-01-16,190.31111
2024-01-17,190.25002
2024-01-18,190.19208
2024-01-19,190.13686
2024-01-22,190.0841
2024-01-23,190.03343
2024-01-24,189.98474
2024-01-25,189.93779
2024-01-26,189.89246
2024-01-29,189.84859
2024-01-30,189.80614
2024-01-31,189.76492
2024-02-01,189.72491
2024-02-02,189.68604
2024-02-05,189.64828
2024-02-06,189.61148
2024-02-07,189.57567
2024-02-08,189.54076
2024-02-09,189.5068
